"Job ID",Agency,"Posting Type","# Of Positions","Business Title","Civil Service Title","Title Classification","Title Code No",Level,"Job Category","Full-Time/Part-Time indicator","Career Level","Salary Frequency","Work Location","Division/Work Unit",Hours/Shift,"Work Location 1","Residency Requirement","Posting Date","Post Until","Posting Updated","Process Date",Salary_Range_From,Salary_Range_To,Job_Category_Industry,Hours_Shift_Simplified,Salary_Range_From_Modified,Salary_Range_To_Modified
637471,"HRA/DEPT OF SOCIAL SERVICES",Internal,2,"DISBURSEMENT/ RECEIPT UNIT SUPERVISOR",BOOKKEEPER,Competitive-1,40526,3,"Social Services",FT,"Experienced (non-manager)",Annual,"4 World Trade Center","Off Of Child‚  Enforc-NM","9:00a.m. to 5:00p.m.","4 World Trade Center, 150 Greenwich Street, New York, NY 10007","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",5/31/2024,N/A,6/7/2024,8/6/2024,$58684,$74406,"Social Services","9 AM - 5 PM",$58684,$74406
625129,"DEPT OF HEALTH/MENTAL HYGIENE",External,1,"TRAINING & CLINICAL SYSTEMS COORDINATOR","PUBLIC HEALTH EDUCATOR",Competitive-1,51110,3,Health,FT,"Experienced (non-manager)",Annual,"42-09 28th Street","Maternal, Infant, & Repr. Hlth",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",6/8/2024,8-Jun-25,6/5/2024,8/6/2024,$66075,$74665,Health,N/A,$66075,$74665
551364,"DEPT OF ENVIRONMENT PROTECTION",Internal,1,"DIRECTOR OF BUDGET, EXECUTIVE ADMINISTRATION","ADMINISTRATIVE STAFF ANALYST (",Competitive-1,1002D,0,"Finance, Accounting, & Procurement",FT,"Experienced (non-manager)",Annual,"59-17 Junction Blvd Corona Ny","EXECUTIVE ADMINISTRATION","35 hours/week","59-17 Junction Blvd Corona Ny","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",9/16/2022,N/A,9/16/2022,8/6/2024,$94715,$130000,"Finance, Accounting, & Procurement","35 Hours Per Week",$94715,$130000
628727,"DEPT OF HEALTH/MENTAL HYGIENE",Internal,1,"FORENSIC MORTUARY TECHNICIAN I","FORENSIC MORTUARY TECHNICIAN",Competitive-1,52040,1,Health,FT,"Experienced (non-manager)",Annual,"520 1St Ave., N.Y.","OCME - Mortuary Operations",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",3/4/2024,N/A,5/1/2024,8/6/2024,$45697,$59308,Health,N/A,$45697,$59308
640278,"CONSUMER AND WORKER PROTECTION",Internal,1,"BUDGET COLLEGE AIDE - 640278","SUMMER COLLEGE INTERN",Non-Competitive-5,10234,0,"Finance, Accounting, & Procurement",FT,"Experienced (non-manager)",Hourly,"42 Broadway, N.Y.","Finance Budget",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/5/2024,30-Sep-24,7/5/2024,8/6/2024,$16,$19,"Finance, Accounting, & Procurement",N/A,$16,$19
570682,"DEPARTMENT OF TRANSPORTATION",Internal,1,"DIRECTOR OF CAPITAL FINANCE","ADMINISTRATIVE STAFF ANALYST (",Competitive-1,1002D,0,"Finance, Accounting, & Procurement",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny","Bureau of Bridges Exec Hdqtr","35 Hours","55 Water St Ny Ny","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",2/1/2023,N/A,2/1/2023,8/6/2024,$94715,$136260,"Finance, Accounting, & Procurement","35 Hours Per Week",$94715,$136260
601877,"DEPT OF DESIGN & CONSTRUCTION",Internal,2,"DESIGN ENGINEER","ASSISTANT CIVIL ENGINEER",Competitive-1,20210,0,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"30-30 Thomson Ave L I City Qns","Infra-Design 1-Section One","35 Hours","30-30 Thomson Ave L I City Qns","New York City Residency is not required for this position.",9/8/2023,N/A,11/28/2023,8/6/2024,$62370,$71726,"Engineering, Architecture, & Planning","35 Hours Per Week",$62370,$71726
633461,"DEPT OF DESIGN & CONSTRUCTION",Internal,1,RECEPTIONIST,"COMMUNITY ASSOCIATE",Non-Competitive-5,56057,0,"Legal Affairs",PT,"Experienced (non-manager)",Hourly,"30-30 Thomson Ave L I City Qns","Law/Law+Labor Relations",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",4/24/2024,N/A,5/24/2024,8/6/2024,$23,$26,"Legal Affairs",N/A,$23,$26
638301,"DISTRICT ATTORNEY-MANHATTAN",Internal,2,"CITY CUSTODIAL ASSISTANT","CITY CUSTODIAL ASSISTANT",Labor-3,90644,0,"Administration & Human Resources Building Operations & Maintenance",FT,Entry-Level,Annual,"1 Hogan Pl./100 Centre St., N.","Facilities Mgmt- Custodial",N/A,N/A,"New York City Residency is not required for this position.",6/13/2024,N/A,6/13/2024,8/6/2024,$40225,$40225,"Building Operations & Maintenance",N/A,$40225,$40225
637694,"DEPARTMENT OF TRANSPORTATION",External,1,"BOB-CIVIL ENGINEERING INTERN","CIVIL ENGINEERING INTERN",Competitive-1,20202,0,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny","Bridges Roadways","35 Hours","55 Water St Ny Ny","New York City Residency is not required for this position.",6/5/2024,N/A,6/12/2024,8/6/2024,$56181,$68034,"Engineering, Architecture, & Planning","35 Hours Per Week",$56181,$68034
542219,"DEPT OF ENVIRONMENT PROTECTION",External,2,"ENVIRONMENTAL ENGINEER II","ENVIRONMENTAL ENGINEER",Competitive-1,20618,2,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"96-05 Horace Harding Expway","PLANNING & ANALYSIS",N/A,"96-05 Horace Harding Expway","New York City Residency is not required for this position.",7/25/2022,N/A,8/16/2022,8/6/2024,$80557,$111917,"Engineering, Architecture, & Planning",N/A,$80557,$111917
636700,"DEPARTMENT OF TRANSPORTATION",Internal,1,"BOB- ASSISTANT CIVIL ENGINEER","ASSISTANT CIVIL ENGINEER",Competitive-1,20210,0,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny","East River & Movable","35 Hours","55 Water St Ny Ny","New York City Residency is not required for this position.",5/28/2024,N/A,5/28/2024,8/6/2024,$62370,$93587,"Engineering, Architecture, & Planning","35 Hours Per Week",$62370,$93587
635995,"DEPT OF ENVIRONMENT PROTECTION",External,1,"PORTFOLIIO MANAGER","ADMINISTRATIVE PROJECT MANAGER",Competitive-1,83008,M4,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",FT,Manager,Annual,"96-05 Horace Harding Expway","PROJECT MANAGEMENT AND CONSTR.",N/A,N/A,"New York City Residency is not required for this position.",5/22/2024,N/A,5/22/2024,8/6/2024,$88437,$228190,"Public Safety",N/A,$88437,$228190
604725,"DEPT OF ENVIRONMENT PROTECTION",Internal,1,"ASSISTANT ENVIRONMENTAL ENGINEER","ASSISTANT ENVIRONMENTAL ENGINE",Competitive-1,20617,0,"Engineering, Architecture, & Planning Policy, Research & Analysis Public Safety, Inspections, & Enforcement",FT,"Experienced (non-manager)",Annual,"59-17 Junction Blvd Corona Ny","FILTRATION AVOIDANCE",N/A,N/A,"New York City Residency is not required for this position.",10/6/2023,N/A,11/13/2023,8/6/2024,$62370,$93587,"Public Safety",N/A,$62370,$93587
634069,"ADMIN TRIALS AND HEARINGS",Internal,1,"ASSISTANT GENERAL COUNSEL","EXECUTIVE AGENCY COUNSEL",Non-Competitive-5,95005,M1,"Legal Affairs",FT,"Experienced (non-manager)",Annual,"66 John Street, New York, Ny","Admin, GC, PI & Exec",N/A,"66 John Street, New York, Ny","New York City Residency is not required for this position.",4/22/2024,N/A,5/20/2024,8/6/2024,$100000,$110000,"Legal Affairs",N/A,$100000,$110000
571153,"DEPT OF HEALTH/MENTAL HYGIENE",External,1,"AOT CLERICAL SUPPORT, MH-ASSISTED OUT TREATMENT","CLERICAL ASSOCIATE",Competitive-1,10251,3,Health,FT,"Experienced (non-manager)",Annual,"42-09 28th Street","MH - Assisted out Treatment",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",6/18/2024,16-Dec-24,6/18/2024,8/6/2024,$36390,$50000,Health,N/A,$36390,$50000
628180,"BRONX DISTRICT ATTORNEY",External,1,"DEPUTY BUREAU CHIEF: EARLY CASE ASSESSMENT BUREAU","ASSISTANT DISTRICT ATTORNEY (S",Exempt-4,30114,0,"Legal Affairs Public Safety, Inspections, & Enforcement",FT,Manager,Annual,"215 E 161St St., Bronx","Assistant District Attorney",N/A,N/A,"New York City Residency is required for this position.",2/28/2024,27-Feb-25,2/28/2024,8/6/2024,$185500,$199000,"Public Safety",N/A,$185500,$199000
639817,"HUMAN RIGHTS COMMISSION",Internal,1,"TIMEKEEPING & ABSENCE CONTROL ASSOCIATE","PRINCIPAL ADMINISTRATIVE ASSOC",Competitive-1,10124,2,"Administration & Human Resources",FT,"Experienced (non-manager)",Annual,"22 Reade St, Ny","Human Resources",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/1/2024,N/A,7/1/2024,8/6/2024,$57976,$75000,"Administration & Human Resources",N/A,$57976,$75000
642050,"DEPARTMENT OF CORRECTION",External,1,"ASSOCIATE COMMISSIONER, ENTERPRISE APPLICATIONS","ASSOCIATE COMMISSIONER (DOC)",Non-Competitive-5,95042,M4,"Technology, Data & Innovation",FT,Manager,Annual,"75-20 Astoria Blvd","Information Systems-Admin",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/12/2024,10-Oct-24,7/12/2024,8/6/2024,$200000,$200000,"Technology, Data & Innovation",N/A,$200000,$200000
633138,"DEPT OF HEALTH/MENTAL HYGIENE",External,1,"NETWORK ENGINEER INTERN, BUREAU OF NETWORK TECHNOLOGY SERVICES","COLLEGE AIDE - ASSIGNMENT LEVE",Non-Competitive-5,1020B,2,Health,PT,Student,Hourly,"125 Worth Street, Nyc","IT Infrastructure and Support",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",4/12/2024,10-Aug-24,4/12/2024,8/6/2024,$18,$23,Health,N/A,$18,$23
605236,"DEPT OF ENVIRONMENT PROTECTION",Internal,1,"AREA ENGINEER - ADMINISTRATIVE ENGINEER","ADMINISTRATIVE ENGINEER",Competitive-1,10015,M1,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"96-05 Horace Harding Expway","Mechanical Engineering - IFA","35 hours per week/day","96-05 Horace Harding Expressway, 2nd floor Corona, NY 11368","New York City Residency is not required for this position.",11/27/2023,N/A,12/4/2023,8/6/2024,$58700,$161534,"Engineering, Architecture, & Planning","35 Hours Per Week",$58700,$161534
